"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-05-29","Comcast Cable Communications, LLC","[7922]","1845","-17.000000000000227","-4.400000043213595","12.09999998379476"
"2018-05-30","Comcast Cable Communications, LLC","[7922, 54787]","2274","-13.499999991079676","-1.2999999980820576","17.500000001469743"
"2018-05-31","Comcast Cable Communications, LLC","[33657, 7922, 54787]","1646","-14.900000001944136","-1.7999999690800905","21.000000182539225"
"2018-06-01","Comcast Cable Communications, LLC","[7922]","1375","-27.500000010832082","-10.899999979073982","15.59999999997126"
"2018-06-02","Comcast Cable Communications, LLC","[7922]","812","-17.80000003054738","-3.200000006472692","13.300000049639493"
"2018-06-03","Comcast Cable Communications, LLC","[7922]","1007","-11.699999988195486","-0.10000001202570274","20.799999983864836"
"2018-06-04","Comcast Cable Communications, LLC","[7922]","1400","-18.900000002759043","-4.699999999957072","14.800000026298221"
"2018-06-05","Comcast Cable Communications, LLC","[33657, 7922, 54787]","1403","-22.699999950418714","-6.700000121782068","13.299999997427108"
"2018-06-06","Comcast Cable Communications, LLC","[7922]","1413","-17.6999999989348","-5.1999999886902515","14.399999981833389"
"2018-06-07","Comcast Cable Communications, LLC","[7922]","824","-23.80000035651028","-6.500000175088644","13.59999964456074"
"2018-05-22","Cox Communications Inc.","[22773]","70","-9.600000012142118","23.799999908078462","41.19999991962686"
"2018-05-23","Cox Communications Inc.","[22773]","316","-22.70000014081552","-1.0000001420849003","52.69999985466711"
"2018-05-24","Cox Communications Inc.","[22773]","233","-10.475000083819026","17.99999992363155","59.49999991618097"
"2018-05-25","Cox Communications Inc.","[22773]","303","-18.00000001094304","7.1999999862163975","84.19999992474914"
"2018-05-26","Cox Communications Inc.","[22773]","101","-15.700000088661909","0.9999999310821295","91.79999991465593"
"2018-05-27","Cox Communications Inc.","[22773]","64","-11.300000021234155","-4.099999940081034","37.699999986216426"
"2018-05-28","Cox Communications Inc.","[22773]","76","-20.999999997613543","-9.600000012142118","9.800000007089693"
"2018-05-29","Cox Communications Inc.","[22773]","274","-15.000000000000227","10.000000000465434","36.39999998838152"
"2018-05-30","Cox Communications Inc.","[22773]","266","-21.700000046213972","-6.499999998530257","17.40000000147029"
